
0 20 60
1800 20.0 73
3600 20.0 68
5400 19.0 68
7200 19.0 73
9000 18 78
10800 20 80
12600 20.0 83
14400 20.0 83
16200 18.0 77
18000 19 67
19800 17 72
21600 19.0 78
23400 17.0 75
25200 19.0 73
27000 17.0 74
28800 19.0 73
30600 20 64
32400 21 64
34200 20.0 68
36000 21.0 65
37800 22.0 60
39600 24.0 57
41400 25.0 50
43200 26 38
45000 26.0 47
46800 28.0 45
48600 28.0 42
50400 27.0 61
52200 26 59
54000 25 56
55800 25.0 65
57600 25.0 57
59400 25.0 57
61200 25.0 57
63000 23 56
64800 23 50
66600 23.0 61
68400 22.0 64
70200 21 64
72000 21.0 68
73800 20.0 69
75600 20 70
77400 20.0 78
79200 20.0 78
82800 20.0 83
84600 20.0 84
